Title,Rating,ReleaseYear
The Shawshank Redemption,9.2,(1994)
The Godfather,9.2,(1972)
The Dark Knight,9.0,(2008)
The Godfather: Part II,9.0,(1974)
12 Angry Men,9.0,(1957)
Schindler's List,8.9,(1993)
The Lord of the Rings: The Return of the King,8.9,(2003)
Pulp Fiction,8.9,(1994)
The Lord of the Rings: The Fellowship of the Ring,8.8,(2001)
"The Good, the Bad and the Ugly",8.8,(1966)
Forrest Gump,8.8,(1994)
Fight Club,8.8,(1999)
Inception,8.7,(2010)
The Lord of the Rings: The Two Towers,8.7,(2002)
Star Wars: Episode V - The Empire Strikes Back,8.7,(1980)
The Matrix,8.7,(1999)
Goodfellas,8.7,(1990)
One Flew Over the Cuckoo's Nest,8.6,(1975)
Se7en,8.6,(1995)
Seven Samurai,8.6,(1954)
It's a Wonderful Life,8.6,(1946)
The Silence of the Lambs,8.6,(1991)
Saving Private Ryan,8.6,(1998)
City of God,8.6,(2002)
Life Is Beautiful,8.6,(1997)
The Green Mile,8.6,(1999)
Star Wars,8.6,(1977)
Interstellar,8.6,(2014)
Terminator 2: Judgment Day,8.5,(1991)
Back to the Future,8.5,(1985)
Spirited Away,8.5,(2001)
Psycho,8.5,(1960)
Léon: The Professional,8.5,(1994)
The Pianist,8.5,(2002)
Parasite,8.5,(2019)
The Lion King,8.5,(1994)
Gladiator,8.5,(2000)
American History X,8.5,(1998)
The Usual Suspects,8.5,(1995)
The Departed,8.5,(2006)
Spider-Man: No Way Home,8.5,(2021)
The Prestige,8.5,(2006)
Casablanca,8.5,(1942)
Whiplash,8.5,(2014)
The Intouchables,8.5,(2011)
Modern Times,8.5,(1936)
Once Upon a Time in the West,8.5,(1968)
Hara-Kiri,8.5,(1962)
Grave of the Fireflies,8.5,(1988)
Alien,8.4,(1979)
Rear Window,8.4,(1954)
City Lights,8.4,(1931)
Memento,8.4,(2000)
Apocalypse Now,8.4,(1979)
Cinema Paradiso,8.4,(1988)
Indiana Jones and the Raiders of the Lost Ark,8.4,(1981)
Django Unchained,8.4,(2012)
WALL·E,8.4,(2008)
The Lives of Others,8.4,(2006)
Sunset Blvd.,8.4,(1950)
The Shining,8.4,(1980)
Paths of Glory,8.4,(1957)
The Great Dictator,8.4,(1940)
Avengers: Infinity War,8.4,(2018)
Witness for the Prosecution,8.4,(1957)
Aliens,8.4,(1986)
American Beauty,8.3,(1999)
The Dark Knight Rises,8.3,(2012)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,(1964)
Joker,8.3,(2019)
Spider-Man: Into the Spider-Verse,8.3,(2018)
Old Boy,8.3,(2003)
Braveheart,8.3,(1995)
Toy Story,8.3,(1995)
Amadeus,8.3,(1984)
Coco,8.3,(2017)
Inglourious Basterds,8.3,(2009)
The Boat,8.3,(1981)
Avengers: Endgame,8.3,(2019)
Princess Mononoke,8.3,(1997)
Once Upon a Time in America,8.3,(1984)
The Batman,8.3,(2022)
Good Will Hunting,8.3,(1997)
Toy Story 3,8.3,(2010)
Requiem for a Dream,8.3,(2000)
3 Idiots,8.3,(2009)
Singin' in the Rain,8.3,(1952)
Your Name.,8.3,(2016)
Star Wars: Episode VI - Return of the Jedi,8.3,(1983)
Reservoir Dogs,8.3,(1992)
Eternal Sunshine of the Spotless Mind,8.3,(2004)
2001: A Space Odyssey,8.3,(1968)
Citizen Kane,8.3,(1941)
High and Low,8.3,(1963)
Lawrence of Arabia,8.3,(1962)
M,8.3,(1931)
Capernaum,8.3,(2018)
North by Northwest,8.3,(1959)
The Hunt,8.3,(2012)
Vertigo,8.3,(1958)
Amélie,8.3,(2001)
